result_id,chembl_id,smiles,gene_name,vina_score,MW,LogP,TPSA,HBA,HBD,QED,Lipinski_Pass
4735,CHEMBL6339,COc1cc2nc(N3CCN(C(=O)C4CC5C=CC4C5)CC3)nc(N)c2cc1OC,LRP4,-7.706,409.4900000000003,2.09,93.81,7,1,0.7729610696619901,True
4731,CHEMBL263077,COc1cc2nc(N3CCN(C(=O)CCc4ccccc4)CC3)nc(N)c2cc1OC,LRP4,-7.7,421.5010000000002,2.5106,93.81,7,1,0.6535216375872722,True
4722,CHEMBL268528,COc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,LRP4,-7.699,323.30800000000005,1.1603999999999999,94.05000000000001,5,1,0.7271920666902064,True
4787,CHEMBL263076,O=c1oc2c(O)c(O)ccc2c2cc(F)ccc12,LRP4,-7.698,246.19299999999996,2.4965,70.67,4,2,0.362958798933863,True
4704,CHEMBL265667,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(O)c1ccc(Cl)cc1,LRP4,-7.686,357.797,2.2727399999999998,87.98,4,2,0.7523079113288574,True
4719,CHEMBL6254,O=C(c1ccccc1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,LRP4,-7.663,327.727,1.8051999999999997,84.82,4,1,0.7433721434336338,True
4749,CHEMBL6237,O=C(c1ccccc1)c1cccc(-n2ncc(=O)[nH]c2=O)c1,LRP4,-7.615,293.28200000000004,1.1517999999999993,84.82,4,1,0.7341053003565499,True
4621,CHEMBL269758,C#C/C=C1\CCC(c2cccc3ccccc23)C(=O)O1,MUSK,-7.597,262.308,3.7775000000000025,26.3,2,0,0.5772496081151963,True
4627,CHEMBL414196,COc1cc2nc(N3CCN(C(=O)C4CC4c4ccccc4)CC3)nc(N)c2cc1OC,MUSK,-7.595,433.5120000000002,2.6815000000000007,93.81,7,1,0.6611089103314625,True
4684,CHEMBL6314,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(N=C=S)cc4)CC3)nc(N)c2cc1OC,MUSK,-7.579,476.5620000000003,3.325500000000001,106.17,9,1,0.3280969065047657,True
4537,CHEMBL6361,Nc1cc[n+](Cc2ccc(/C=C\c3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,CHRNA1,-7.576,494.6420000000002,5.999400000000005,59.8,2,2,0.22040047028620113,False
4721,CHEMBL6268,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccccc1,LRP4,-7.575,309.32500000000005,1.3109199999999996,87.98,4,2,0.7633609318084624,True
4649,CHEMBL6226,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1Cc1ccccc1,MUSK,-7.567,293.326,1.8200199999999997,67.75,3,1,0.8006513140215891,True
4542,CHEMBL6315,Nc1cc[n+](Cc2ccc(Cc3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,CHRNA1,-7.566,482.6310000000002,5.419800000000004,59.8,2,2,0.3115482793439012,False
4747,CHEMBL264721,COc1cc2nc(N3CCN(/C(S)=N/c4ccccc4)CC3)nc(N)c2cc1OC,LRP4,-7.553,424.53000000000026,2.9687,89.10000000000001,7,2,0.37808328939069136,True
4711,CHEMBL6214,CSc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,LRP4,-7.543,373.821,2.5271,84.82,5,1,0.5607787854618064,True
4495,CHEMBL998,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(CC(=O)[O-])cc1,CHRNA1,-7.53,338.3510000000001,-0.48699999999999877,146.97,9,2,0.6285795757745255,True
4784,CHEMBL414181,c1cncc(CN2CCN(C[C@@H]3CCCN3)CC2)c1,LRP4,-7.526,260.38499999999993,0.9512000000000003,31.400000000000006,4,1,0.8733006770557634,True
4623,CHEMBL6254,O=C(c1ccccc1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,MUSK,-7.505,327.727,1.8051999999999997,84.82,4,1,0.7433721434336338,True
4677,CHEMBL6323,COc1cc2nc(N3CCN(C(=O)c4ccc5ccccc5c4)CC3)nc(N)c2cc1OC,MUSK,-7.482,443.5070000000003,3.344800000000001,93.81,7,1,0.516940137055105,True
4761,CHEMBL268150,CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,LRP4,-7.48,231.211,0.12339999999999979,84.82,4,1,0.7439210339944793,True
4655,CHEMBL6238,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(=O)c1ccc(Cl)cc1,MUSK,-7.472,355.78100000000006,2.42204,84.82,4,1,0.7310717924650318,True
4607,CHEMBL6328,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(C#N)cc1,MUSK,-7.464,332.3190000000001,1.3318999999999996,108.60999999999999,5,1,0.7278937002843401,True
4713,CHEMBL6206,O=C1O/C(=C/Br)CCC1c1cccc2ccccc12,LRP4,-7.449,317.182,4.496700000000003,26.3,2,0,0.7241334783871272,True
4633,CHEMBL6361,Nc1cc[n+](Cc2ccc(/C=C\c3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,MUSK,-7.442,494.6420000000002,5.999400000000005,59.8,2,2,0.22040047028620113,False
4473,CHEMBL21333,CC(=O)OC1=CC=[N+](C)C=C1,LRP4,-7.43,152.173,0.4363999999999999,30.18,2,0,0.43140217503244743,True
4756,CHEMBL269496,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccc(Cl)cc1,LRP4,-7.419,343.7700000000001,1.9643199999999994,87.98,4,2,0.7606451841008255,True
4744,CHEMBL415286,O=C(c1ccc(-n2ncc(=O)[nH]c2=O)cc1)c1cccs1,LRP4,-7.401,299.31100000000004,1.2133,84.82,5,1,0.7367385384383045,True
4776,CHEMBL204146,O=c1oc2c(O)c(O)ccc2c2ccc(O)cc12,LRP4,-7.386,244.20199999999997,2.0629999999999997,90.9,5,3,0.3196574492268046,True
4717,CHEMBL269758,C#C/C=C1\CCC(c2cccc3ccccc23)C(=O)O1,LRP4,-7.374,262.308,3.7775000000000025,26.3,2,0,0.5772496081151963,True
4742,CHEMBL6208,COc1cc2nc(N3CCN(/C(S)=N/C4CCCCC4)CC3)nc(N)c2cc1OC,LRP4,-7.367,430.5780000000004,2.9697000000000005,89.10000000000001,7,2,0.43785720634733116,True
4618,CHEMBL6222,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,MUSK,-7.366,362.17200000000014,2.4585999999999997,84.82,4,1,0.7257157092686666,True
4746,CHEMBL6226,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1Cc1ccccc1,LRP4,-7.362,293.326,1.8200199999999997,67.75,3,1,0.8006513140215891,True
4475,CHEMBL1200640,CC[N+](C)(C)c1ccc(O)cc1,MUSK,-7.36,166.244,1.979,20.23,1,1,0.6659702056085908,True
4619,CHEMBL6223,O=C1O/C(=C/I)CCC1c1cccc2ccccc12,MUSK,-7.333,364.182,4.536800000000003,26.3,2,0,0.5488232585487887,True
4581,CHEMBL6323,COc1cc2nc(N3CCN(C(=O)c4ccc5ccccc5c4)CC3)nc(N)c2cc1OC,CHRNA1,-7.331,443.5070000000003,3.344800000000001,93.81,7,1,0.516940137055105,True
4637,CHEMBL6348,COc1cc2nc(N3CCN(C(=O)/C=C/c4cccc(F)c4)CC3)nc(N)c2cc1OC,MUSK,-7.326,437.47500000000025,2.7303000000000006,93.81,7,1,0.6136131452511382,True
4775,CHEMBL6313,COc1cc2nc(N3CCN(/C(S)=N/c4ccc(N=[N+]=[N-])cc4)CC3)nc(N)c2cc1OC,LRP4,-7.317,465.5430000000003,3.9105000000000025,137.85999999999999,8,2,0.14543935765280458,True
4676,CHEMBL6321,COc1cc2nc(N3CCN(C(=O)/C=C/C(=O)c4ccccc4)CC3)nc(N)c2cc1OC,MUSK,-7.309,447.49500000000023,2.3169000000000004,110.88,8,1,0.4527580594400258,True
4535,CHEMBL429017,Nc1cc[n+](Cc2ccc(CCc3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,CHRNA1,-7.304,496.6580000000002,5.614200000000005,59.8,2,2,0.28216875972997674,False
4644,CHEMBL6342,COc1cc2nc(N3CCN(C(=O)/C(F)=C/c4ccccc4)CC3)nc(N)c2cc1OC,MUSK,-7.303,437.47500000000025,2.8884000000000007,93.81,7,1,0.6136187944088385,True
4610,CHEMBL267864,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1,MUSK,-7.289,341.754,2.113619999999999,84.82,4,1,0.7393377454162021,True
4653,CHEMBL6236,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(Cl)c1C(=O)c1ccc(Cl)cc1,MUSK,-7.283,376.19900000000007,2.7670200000000005,84.82,4,1,0.7127727970883897,True
4736,CHEMBL6340,C/C=C/C=C/C(=O)N1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,LRP4,-7.282,383.4520000000002,2.0101,93.81000000000002,7,1,0.6233818986357702,True
4478,CHEMBL703,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,MUSK,-7.25,223.29599999999996,1.9437,29.540000000000003,2,0,0.7170811018086075,True
4642,CHEMBL6358,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(F)cc4)CC3)nc(N)c2cc1OC,MUSK,-7.238,437.47500000000025,2.7303000000000006,93.81,7,1,0.6136131452511382,True
4605,CHEMBL21333,CC(=O)OC1=CC=[N+](C)C=C1,MUSK,-7.232,152.173,0.4363999999999999,30.18,2,0,0.43140217503244743,True
4615,CHEMBL266457,CS(=O)(=O)c1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,MUSK,-7.219,405.8190000000001,1.2087,118.95999999999998,6,1,0.6513928502202894,True
4657,CHEMBL6240,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,MUSK,-7.215,327.7270000000001,1.8051999999999997,84.82,4,1,0.7433721434336338,True
4778,CHEMBL6364,O=c1oc2c(O)c(O)ccc2c2ccccc12,LRP4,-7.211,228.20299999999997,2.3573999999999993,70.67,4,2,0.35176570260283047,True
4496,CHEMBL998,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(CC(=O)[O-])cc1,MUSK,-7.2,338.3510000000001,-0.48699999999999877,146.97,9,2,0.6285795757745255,True
4782,CHEMBL266458,O=c1oc2cc(O)c(O)cc2c2cc(O)c(O)cc12,LRP4,-7.198,260.20099999999996,1.7686,111.13000000000001,6,4,0.27828447861649147,True
4645,CHEMBL6218,COc1cc2nc(N3CCN(C(=O)Nc4ccccc4)CC3)nc(N)c2cc1OC,MUSK,-7.19,408.4620000000003,2.5833000000000004,105.84,7,2,0.6833765554276484,True
4613,CHEMBL6352,Cc1cc(Br)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,MUSK,-7.185,420.6500000000001,2.876120000000001,84.82,4,1,0.6603780156836552,True
4668,CHEMBL6290,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(Br)cc4)CC3)nc(N)c2cc1OC,MUSK,-7.174,498.38100000000026,3.353700000000001,93.81,7,1,0.5396173084099449,True
4612,CHEMBL6363,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1,MUSK,-7.172,307.309,1.4602199999999996,84.82,4,1,0.7423863406568361,True
4652,CHEMBL6237,O=C(c1ccccc1)c1cccc(-n2ncc(=O)[nH]c2=O)c1,MUSK,-7.135,293.28200000000004,1.1517999999999993,84.82,4,1,0.7341053003565499,True
4632,CHEMBL6344,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,MUSK,-7.129,376.19900000000007,2.7670200000000005,84.82,4,1,0.7127727970883897,True
4636,CHEMBL6347,COc1ccc(/C=C/C(=O)N2CCN(c3nc(N)c4cc(OC)c(OC)cc4n3)CC2)cc1,MUSK,-7.114,449.51100000000025,2.599800000000001,103.04,8,1,0.5730983475823188,True
4614,CHEMBL268097,O=C(c1ccc(Cl)cc1Cl)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,MUSK,-7.112,396.6170000000001,3.112000000000002,84.82,4,1,0.6894248362264979,True
4485,CHEMBL112,CCC1NC(=O)C(CC2=CC=CC=C2)N(C)C(=O)CN(C)C(=O)C(C(C)C)NC(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)NC(=O)C(CCCCCC)NC(=O)C(CC(C)C)N(C)C1=O,LRP4,-7.11,911.2429999999996,3.9059000000000106,197.64,8,4,0.20174887095989058,False
4482,CHEMBL25,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CC(=O)C4=O,LRP4,-7.1,300.398,3.2664000000000017,51.21,3,0,0.6451648577416613,True
4715,CHEMBL6223,O=C1O/C(=C/I)CCC1c1cccc2ccccc12,LRP4,-7.096,364.182,4.536800000000003,26.3,2,0,0.5488232585487887,True
4606,CHEMBL6329,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1Cl,MUSK,-7.092,341.754,2.113619999999999,84.82,4,1,0.7393377454162021,True
4659,CHEMBL6243,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,MUSK,-7.084,335.3630000000001,2.0770599999999995,84.82,4,1,0.7427283791753002,True
4674,CHEMBL415103,COc1cc2nc(N3CCN(C(=O)C4OC4c4ccccc4)CC3)nc(N)c2cc1OC,MUSK,-7.084,435.48400000000026,2.017899999999999,106.34,8,1,0.6069514895879309,True
4654,CHEMBL266484,Cc1cc(Cl)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1C,MUSK,-7.081,355.7810000000001,2.42204,84.82,4,1,0.7310717924650317,True
4492,CHEMBL1231,CNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,CHRNA1,-7.08,361.25100000000003,-1.4035000000000009,172.07999999999998,9,5,0.3962956694621264,True
4609,CHEMBL265667,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(O)c1ccc(Cl)cc1,MUSK,-7.072,357.797,2.2727399999999998,87.98,4,2,0.7523079113288574,True
4716,CHEMBL6228,O=C1O/C(=C\I)CCC1c1cccc2ccccc12,LRP4,-7.068,364.182,4.536800000000003,26.3,2,0,0.5488232585487887,True
4608,CHEMBL6362,Cc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,MUSK,-7.066,307.309,1.4602199999999999,84.82,4,1,0.7423863406568361,True
4678,CHEMBL266081,COc1cc2nc(N3CCN(C(=O)c4cccc(CCl)c4)CC3)nc(N)c2cc1OC,MUSK,-7.046,441.91900000000027,2.9304000000000006,93.81,7,1,0.6081007713168407,True
4497,CHEMBL998,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(CC(=O)[O-])cc1,LRP4,-7.04,338.3510000000001,-0.48699999999999877,146.97,9,2,0.6285795757745255,True
4498,CHEMBL1128,c1ccc(-c2ccccc2)cc1,CHRNA1,-7.04,154.21199999999996,3.353600000000001,0.0,0,0,0.5905018880213778,True
4527,CHEMBL6254,O=C(c1ccccc1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,CHRNA1,-7.032,327.727,1.8051999999999997,84.82,4,1,0.7433721434336338,True
4635,CHEMBL263077,COc1cc2nc(N3CCN(C(=O)CCc4ccccc4)CC3)nc(N)c2cc1OC,MUSK,-7.029,421.5010000000002,2.5106,93.81,7,1,0.6535216375872722,True
4641,CHEMBL268768,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccccc4)CC3)nc(N)c2cc1OC,MUSK,-7.026,419.48500000000024,2.5912000000000006,93.81,7,1,0.6354446414944143,True
4493,CHEMBL1231,CNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,MUSK,-7.0,361.25100000000003,-1.4035000000000009,172.07999999999998,9,5,0.3962956694621264,True
